Year,Effort,CPUE
1934,5.944,10.374
1935,6.34,11.551
1936,6.736,11.663
1937,8.321,11.215
1938,6.793,11.495
1939,10.359,10.542
1940,10.868,10.654
1941,9.51,8.047
1942,5.944,7.065
1943,5.887,8.495
1944,6.34,10.037
1945,9.227,9.561
1946,14.038,9.364
1947,20.264,7.934
1948,23.717,8.439
1949,22.981,8.439
1950,31.472,7.065
1951,18.623,9.869
1952,31,6.112
1953,36,4
1954,24.849,5.579
1955,17.717,7.934
1956,26.661,6.617
1957,25.755,6.336
1958,32.774,4.654
1959,27.793,5.243
1960,34.019,6.897